Episode,DQN Loss,Mean Episode Rewards
1000,0.55222,0.16
2000,7.207081,-0.93
3000,4.8596373,-1.0
4000,13.406021,-0.03
5000,4.2488136,-0.67
6000,3.7588022,-0.83
7000,2.8422203,-0.68
8000,1.9463422,0.41
9000,1.3073211,0.59
10000,1.0360118,0.19
11000,0.7125256,0.8
12000,1.5722228,0.62
13000,1.7723801,0.86
1000,0.044746246,-0.17
2000,0.08447602,-0.1
3000,0.03249065,0.28
4000,0.037916154,-0.48
5000,0.017374594,0.6
6000,0.037506945,0.33
7000,0.047528256,0.52
8000,0.010997409,0.54
9000,0.0030240063,0.66
10000,0.0035624262,0.8
11000,0.037278514,0.56
12000,0.06393811,0.72
13000,0.020027954,0.73
14000,0.026790943,0.79
15000,0.024483472,0.62
16000,0.042047985,0.9
17000,0.022593092,0.61
18000,0.0031623861,0.65
19000,0.009634508,0.9
20000,0.019775283,0.74
21000,0.02984663,0.71
22000,0.005123942,0.81
23000,0.0027853288,0.86
24000,0.018604213,0.94
25000,0.0026081665,0.83
26000,0.0018784793,0.8
27000,0.0021207323,0.86
28000,0.002865443,0.91
29000,0.0003880666,0.82
30000,0.0010635229,0.89
31000,0.0051871357,0.88
32000,0.0018465895,0.87
33000,0.008472321,0.88
34000,0.0028375727,0.8
35000,0.0026536875,0.91